User_Id,Race,Flavors,Positive,Negative,Medical
244,"hybrid, indica","Grapefruit, Earthy, Blue Cheese, Flowery, Vanilla, Orange, Violet, Menthol, Mint, Peach, Pineapple, Lavender, Grape, Blueberry, Chemical, Fruit, Citrus, Spicy/Herbal, Strawberry, Butter, Rose, Pungent, Coffee, Ammonia, Blue, Tree Fruit, Woody, Pine",Focused,"Paranoid, Dry Mouth",Insomnia
245,,"Pungent, Menthol, Pear, Mango, Berry","Hungry, Talkative, Giggly, Happy, Uplifted, Euphoric, Tingly, Creative, Sleepy","Dizzy, Dry Eyes, Dry Mouth, Paranoid","Headaches, Lack of Appetite, Stress, Inflammation, Cramps, Seizures, Pain, Headache"
246,"hybrid, indica","Tar, Orange, Sweet, Tropical, Honey, Sage, Blue Cheese, Skunk, Grape, Coffee, Peach","Tingly, Talkative, Focused, Aroused, Happy, Giggly",Dry Mouth,"Pain, Fatigue, Eye Pressure, Headache"
247,sativa,"Tar, Pineapple, Tree Fruit, Woody, Diesel, Chemical, Berry, Lavender, Cheese, Grape, Lime, Apple, Sweet, Grapefruit, Citrus, Blue Cheese, Vanilla, Coffee, Blue, Minty, Strawberry, Chestnut","Relaxed, Creative, Euphoric, Uplifted, Aroused, Energetic, Talkative","Dizzy, Dry Mouth, Paranoid","Muscle Spasms, Cramps, Eye Pressure"
248,sativa,"Nutty, Diesel, Berry, Apricot, Pepper, Plum, Peach, Menthol, Pungent, Pine, Sage, Pineapple, Tea, Skunk, Cheese, Lemon, Violet, Grape, Blue Cheese, Orange, Pear, Tree Fruit, Tropical, Earthy, Flowery, Grapefruit, Apple, Butter, Ammonia, Vanilla","Happy, Uplifted, Tingly, Relaxed, Focused, Talkative, Aroused","Dizzy, Dry Eyes","Muscle Spasms, Pain, Headaches, Insomnia, Inflammation, Seizures, Spasticity, Nausea"
249,,"Tobacco, Grape, Vanilla, Sweet, Strawberry, Mango, Pungent, Ammonia, Tree, Flowery, Berry, Lavender, Nutty, Apple, Cheese, Orange, Woody, Plum, Skunk, Spicy/Herbal, Coffee, Butter, Fruit, Apricot, Lemon, Lime, Pineapple","Tingly, Sleepy, Talkative, Relaxed",Paranoid,"Lack of Appetite, Pain, Insomnia"
250,"sativa, hybrid","Pineapple, Lavender, Apple, Berry, Woody, Nutty, Butter, Minty, Citrus, Plum, Grape, Grapefruit, Mango, Pepper, Rose, Cheese, Lime, Diesel, Blue, Chestnut, Pungent, Peach, Spicy/Herbal, Tropical, Vanilla, Menthol, Coffee, Earthy, Tree, Skunk, Blueberry","Sleepy, Focused, Uplifted",Paranoid,"Cramps, Fatigue, Inflammation, Headache, Headaches, Lack of Appetite, Depression, Seizures, Pain, Nausea, Muscle Spasms"
251,"sativa, hybrid","Chemical, Apricot, Blue, Peach, Apple, Menthol, Orange, Pungent, Coffee, Berry, Butter, Nutty, Sage, Fruit, Rose, Grapefruit, Pineapple, Lime, Lavender, Plum, Pepper, Strawberry, Tea, Flowery","Relaxed, Happy, Energetic, Focused, Sleepy, Aroused","Anxious, Dry Mouth, Dizzy, Dry Eyes",Seizures
252,hybrid,"Butter, Grapefruit, Skunk, Lemon, Violet, Woody, Rose, Pear, Peach, Earthy, Tree, Citrus, Apricot, Flowery, Fruit, Coffee","Talkative, Giggly, Focused, Creative, Euphoric","Dry Eyes, Dry Mouth, Paranoid, Dizzy","Pain, Fatigue, Stress"
253,indica,"Woody, Minty, Citrus, Apple, Tar, Violet, Sage, Tobacco, Grape, Honey, Butter, Strawberry, Diesel, Vanilla, Sweet, Blue","Happy, Giggly, Relaxed",Anxious,"Inflammation, Seizures, Nausea, Insomnia, Fatigue"
254,,"Grape, Vanilla, Apricot, Chemical, Skunk, Chestnut, Honey, Tree Fruit, Menthol, Lavender, Mint, Orange, Minty, Citrus, Pungent, Violet, Apple, Earthy, Tobacco, Diesel, Spicy/Herbal, Lemon, Sage, Rose, Lime, Pine, Pear, Plum, Blueberry, Butter, Tea, Cheese, Ammonia","Happy, Hungry, Focused, Giggly, Euphoric, Relaxed, Uplifted, Creative",Dry Mouth,"Seizures, Fatigue, Headaches, Stress, Nausea, Pain, Depression"
255,"indica, hybrid","Coffee, Pepper","Happy, Tingly, Giggly, Talkative, Euphoric",Dry Eyes,"Headache, Nausea, Insomnia, Cramps, Eye Pressure, Depression, Muscle Spasms, Headaches, Lack of Appetite"
256,"hybrid, sativa","Butter, Citrus, Sage, Orange, Berry, Tobacco, Plum, Flowery, Earthy, Pineapple, Pungent, Fruit, Blueberry, Grapefruit, Vanilla, Menthol, Mango, Pine, Apple, Minty, Diesel, Lemon, Chemical, Tropical, Blue Cheese","Giggly, Happy, Uplifted","Dry Eyes, Dry Mouth, Anxious","Pain, Headaches, Nausea, Eye Pressure, Insomnia, Seizures, Inflammation, Fatigue, Stress"
257,"indica, sativa","Coffee, Honey, Pineapple, Blueberry, Mango, Apple, Ammonia, Orange, Vanilla, Fruit, Cheese, Sweet, Grapefruit, Pungent, Rose, Tropical, Skunk",Creative,"Anxious, Dry Mouth","Eye Pressure, Lack of Appetite, Seizures, Insomnia, Nausea"
258,hybrid,"Peach, Berry","Energetic, Aroused, Relaxed, Tingly, Creative, Giggly, Uplifted","Dry Mouth, Dizzy, Paranoid, Anxious","Nausea, Fatigue, Spasticity, Eye Pressure, Headaches"
259,,"Berry, Tea, Strawberry, Chestnut, Pear, Orange, Pineapple, Minty, Tree Fruit, Lime, Menthol, Chemical, Pepper, Skunk, Apricot, Honey","Tingly, Relaxed, Giggly, Euphoric, Creative, Aroused, Energetic, Happy","Dry Eyes, Dry Mouth","Muscle Spasms, Cramps, Spasticity, Headache, Eye Pressure, Nausea, Depression"
260,"hybrid, indica","Diesel, Apple, Pear, Chemical, Honey, Tree, Lavender, Vanilla, Tea, Coffee, Peach, Pineapple, Cheese, Ammonia, Minty, Lime, Tropical","Sleepy, Happy","Paranoid, Dizzy","Lack of Appetite, Depression, Seizures, Insomnia"
261,hybrid,,"Happy, Focused, Aroused, Energetic, Uplifted","Paranoid, Dry Mouth, Anxious","Stress, Nausea, Insomnia, Fatigue, Headache, Muscle Spasms, Cramps, Seizures"
262,"indica, sativa","Nutty, Tobacco, Tar, Tree, Honey, Sage, Diesel, Blueberry, Rose, Apricot, Peach, Sweet, Blue, Pungent","Hungry, Tingly","Dry Mouth, Anxious, Dry Eyes",Spasticity
263,"indica, hybrid","Lemon, Grapefruit, Nutty, Tea, Earthy, Peach, Blueberry, Minty, Sweet, Diesel, Spicy/Herbal, Lime, Pear, Tobacco, Mango, Butter, Flowery, Violet, Chemical, Pine, Strawberry, Orange, Woody, Coffee, Plum, Citrus, Chestnut, Fruit",Sleepy,"Dizzy, Dry Mouth",Nausea
264,hybrid,"Vanilla, Tree Fruit, Skunk, Chestnut, Plum, Pineapple, Violet, Flowery, Tree, Nutty, Lime","Creative, Talkative, Giggly","Dizzy, Dry Eyes, Anxious","Spasticity, Fatigue, Depression, Headaches, Headache, Stress, Eye Pressure, Insomnia"
265,indica,"Lavender, Plum, Rose, Citrus, Grapefruit, Nutty, Sage, Peach, Fruit, Mango, Pungent, Tobacco, Vanilla, Menthol, Lemon, Tree Fruit, Pepper, Cheese, Apricot, Tar, Honey, Minty, Orange, Flowery, Woody, Strawberry, Blueberry, Tree, Blue Cheese, Pineapple, Blue",,"Dizzy, Dry Eyes, Dry Mouth","Nausea, Headaches, Lack of Appetite, Muscle Spasms, Eye Pressure, Cramps, Headache, Spasticity, Depression"
266,"indica, sativa","Grape, Tea, Sweet, Lemon, Strawberry, Menthol, Sage, Blue Cheese, Vanilla, Minty, Grapefruit, Plum, Tropical, Lavender, Citrus, Pungent, Tree, Mango, Chemical, Pineapple, Pepper",,Dry Mouth,"Depression, Headache, Cramps, Seizures, Eye Pressure"
267,,"Strawberry, Woody, Blue Cheese, Diesel, Lavender, Lime, Blue, Tree Fruit, Butter, Chemical, Citrus, Mango, Pepper, Pineapple, Honey, Minty, Vanilla, Skunk","Uplifted, Energetic, Tingly, Hungry, Relaxed","Anxious, Dizzy","Cramps, Headaches, Seizures"
268,,"Lavender, Sweet, Orange, Blueberry, Mango, Earthy, Citrus","Creative, Uplifted, Giggly, Talkative, Hungry, Focused","Anxious, Dry Mouth","Seizures, Spasticity"
269,"sativa, hybrid","Tree, Peach, Pine, Tropical, Blue, Earthy, Pepper, Ammonia, Cheese, Orange, Coffee, Pineapple, Mint, Strawberry, Diesel, Mango, Tea, Tar, Lavender, Fruit, Apple, Chemical, Honey, Chestnut","Creative, Energetic, Relaxed, Sleepy, Focused, Giggly","Dry Eyes, Anxious","Inflammation, Spasticity, Depression, Nausea, Headaches, Fatigue, Cramps, Muscle Spasms, Lack of Appetite"
270,"sativa, indica","Pepper, Grapefruit, Tree, Flowery, Fruit, Earthy, Pine, Grape","Focused, Euphoric, Uplifted, Energetic","Dizzy, Dry Mouth","Fatigue, Eye Pressure"
271,"hybrid, sativa","Coffee, Lime, Skunk, Chemical, Orange, Tea, Plum, Pineapple, Strawberry, Earthy, Sage, Flowery, Violet, Pine, Pear, Tar, Apricot, Minty, Blueberry, Cheese, Mango, Vanilla, Tobacco, Tree, Lavender, Citrus, Butter, Grapefruit, Blue Cheese","Focused, Happy",,
272,"sativa, hybrid, indica","Pepper, Fruit, Vanilla, Violet, Minty, Tea, Lavender","Energetic, Aroused, Euphoric",Dry Eyes,"Eye Pressure, Cramps, Headache, Muscle Spasms, Headaches"
273,"sativa, hybrid","Pineapple, Pepper, Honey, Tropical, Tobacco, Lemon, Menthol, Mango","Tingly, Focused, Giggly, Relaxed, Hungry","Dry Eyes, Anxious, Dizzy","Seizures, Depression, Insomnia, Fatigue, Cramps"
274,"hybrid, indica","Earthy, Coffee, Grapefruit, Tree Fruit, Menthol",Creative,"Paranoid, Anxious, Dry Mouth, Dry Eyes","Spasticity, Seizures, Cramps, Insomnia, Eye Pressure, Headache, Stress, Muscle Spasms, Pain"
275,hybrid,"Menthol, Lime, Blueberry, Earthy, Tropical, Pepper, Tree Fruit, Lavender, Butter, Cheese, Rose, Blue, Minty, Plum, Ammonia, Tobacco, Mint, Skunk, Fruit, Orange, Tar, Grapefruit, Flowery, Woody, Sage",Relaxed,"Dry Mouth, Paranoid","Eye Pressure, Muscle Spasms, Insomnia"
276,,"Sage, Pepper, Tar, Coffee, Blueberry, Blue Cheese, Plum, Diesel, Lime, Ammonia, Tree Fruit, Cheese, Citrus, Tropical, Blue, Nutty, Grape, Tree, Flowery",Sleepy,"Dizzy, Dry Mouth","Headache, Seizures, Spasticity, Pain, Muscle Spasms, Eye Pressure, Insomnia"
277,indica,"Menthol, Tree Fruit, Tar, Pineapple, Woody, Strawberry, Pine, Earthy, Pungent, Nutty, Grape, Tea, Apple, Blue Cheese, Pepper, Vanilla, Mango, Apricot, Grapefruit, Coffee, Flowery, Sage","Euphoric, Aroused, Happy, Relaxed, Giggly, Tingly","Dry Eyes, Dizzy","Pain, Insomnia, Eye Pressure, Depression, Seizures, Lack of Appetite"
278,indica,"Tobacco, Woody, Sweet, Tree, Mint, Blueberry, Chestnut, Tropical, Spicy/Herbal, Blue, Tea, Lemon, Pepper, Earthy, Fruit, Vanilla, Rose, Pine, Chemical, Minty, Grape, Ammonia, Mango, Tar, Skunk, Pear, Coffee, Pungent","Focused, Hungry, Sleepy","Dry Mouth, Dizzy","Depression, Eye Pressure, Headaches, Nausea, Seizures"
279,indica,"Spicy/Herbal, Strawberry, Pine, Mango, Flowery, Tree","Uplifted, Aroused, Hungry, Talkative, Relaxed, Tingly, Euphoric, Energetic, Focused",Paranoid,"Seizures, Lack of Appetite"
280,"indica, hybrid","Peach, Sage, Minty, Mint, Tea, Chestnut, Skunk, Pear, Nutty, Pine, Tree Fruit, Grapefruit, Menthol, Sweet, Apple, Fruit, Grape, Pungent, Honey, Vanilla, Pepper, Woody, Tropical, Berry, Blue, Blue Cheese, Cheese, Plum","Happy, Creative, Talkative, Aroused, Hungry, Energetic","Dry Mouth, Dizzy","Eye Pressure, Pain, Lack of Appetite, Insomnia, Muscle Spasms"
281,"hybrid, indica","Tobacco, Tree Fruit, Earthy, Chestnut, Menthol, Butter, Citrus, Mango, Lime, Cheese, Pepper, Diesel, Peach, Flowery, Tropical, Violet, Berry, Tree, Ammonia, Pine, Honey, Vanilla, Lemon, Lavender, Tea, Chemical, Pungent, Fruit, Orange","Euphoric, Uplifted, Creative, Hungry, Focused, Aroused, Tingly","Dry Mouth, Dizzy","Muscle Spasms, Eye Pressure, Headaches, Pain, Stress, Depression, Seizures, Lack of Appetite, Nausea"
282,"hybrid, sativa","Skunk, Cheese","Relaxed, Focused, Aroused, Talkative, Sleepy, Giggly, Euphoric, Tingly","Paranoid, Dry Mouth","Headaches, Lack of Appetite, Nausea, Headache, Fatigue, Seizures, Muscle Spasms, Pain"
283,indica,"Orange, Coffee, Tea, Cheese, Diesel, Tree, Lemon, Berry, Tropical, Pineapple, Grape, Pepper, Chestnut, Chemical, Blue Cheese, Tar, Violet, Apple, Blue, Rose, Woody, Spicy/Herbal, Apricot, Tree Fruit, Grapefruit, Pungent, Honey, Vanilla, Pine, Plum, Sage, Menthol","Focused, Sleepy, Hungry, Giggly, Talkative, Tingly","Paranoid, Dry Eyes, Dry Mouth","Spasticity, Seizures, Headaches, Stress, Cramps, Insomnia, Lack of Appetite, Nausea"
284,"hybrid, indica","Lemon, Pepper, Lime, Pineapple, Tree, Vanilla, Apple, Blueberry, Cheese, Spicy/Herbal, Blue, Peach, Tea, Orange, Tar, Skunk, Butter, Diesel, Nutty, Tree Fruit, Grape, Fruit, Coffee, Chestnut, Pungent, Flowery, Grapefruit, Ammonia, Woody, Chemical, Tobacco, Berry, Menthol","Happy, Uplifted, Relaxed, Hungry, Tingly, Talkative, Aroused, Focused",,"Headache, Stress, Headaches, Cramps, Spasticity, Insomnia, Eye Pressure, Fatigue"
285,,"Spicy/Herbal, Grape, Pepper, Tobacco, Cheese, Blueberry",Creative,"Dizzy, Dry Eyes","Headache, Seizures, Stress"
286,,"Tea, Cheese, Diesel, Orange, Honey, Skunk, Tropical, Sweet, Citrus, Minty, Woody, Menthol, Spicy/Herbal, Blue, Grapefruit, Peach, Pineapple, Rose, Mint, Pine, Nutty, Flowery, Tobacco, Sage, Plum, Chemical, Coffee, Pepper, Tree, Chestnut","Hungry, Tingly, Uplifted, Talkative, Aroused, Giggly, Relaxed",Paranoid,"Eye Pressure, Depression, Pain, Nausea, Fatigue, Headaches, Inflammation, Lack of Appetite, Cramps"
287,indica,"Grapefruit, Orange, Chestnut, Spicy/Herbal, Tropical, Lime, Flowery, Lemon, Berry, Tar, Tree Fruit, Pepper, Strawberry","Relaxed, Energetic, Sleepy, Giggly, Focused, Happy, Hungry, Euphoric, Talkative",Dry Mouth,Inflammation
288,,"Pear, Grapefruit, Orange, Woody, Menthol, Pine, Honey, Vanilla, Flowery, Cheese, Blue","Creative, Tingly, Uplifted, Energetic","Dizzy, Anxious","Nausea, Stress, Headache, Eye Pressure, Inflammation, Pain, Seizures, Insomnia, Muscle Spasms, Depression"
289,"hybrid, sativa","Lavender, Tree, Woody, Peach, Diesel, Ammonia, Tar, Sweet, Tree Fruit, Chemical, Pineapple, Menthol, Skunk, Violet, Grape, Pepper","Relaxed, Energetic, Aroused, Euphoric, Sleepy, Tingly, Giggly",Dizzy,"Fatigue, Seizures, Inflammation, Stress, Depression, Muscle Spasms, Lack of Appetite, Insomnia"
290,,"Lavender, Peach, Orange, Pungent, Apricot, Mango, Woody, Ammonia","Sleepy, Uplifted, Relaxed, Euphoric, Tingly, Creative, Hungry","Dizzy, Paranoid, Dry Mouth, Dry Eyes","Muscle Spasms, Cramps, Depression, Spasticity, Fatigue, Insomnia, Nausea"
291,"sativa, hybrid","Mint, Coffee, Blue, Blue Cheese, Woody, Pear, Violet, Butter, Fruit, Ammonia, Skunk, Vanilla","Talkative, Uplifted, Energetic","Dry Eyes, Anxious",Depression
292,"sativa, hybrid, indica","Tar, Sweet, Lime, Minty, Pepper, Apple, Butter, Pineapple, Ammonia, Earthy, Grapefruit, Tea, Menthol, Pungent, Blueberry, Vanilla, Spicy/Herbal, Honey, Strawberry, Violet, Chestnut, Cheese, Mint, Lemon, Berry",,"Paranoid, Dizzy","Spasticity, Insomnia, Seizures, Headaches, Lack of Appetite"
293,indica,"Blue, Woody, Violet, Pine, Sweet, Tree, Tea, Grapefruit, Blue Cheese, Pepper, Apple, Blueberry, Mango, Mint, Tree Fruit, Skunk, Strawberry, Sage","Focused, Tingly, Hungry, Uplifted, Creative, Relaxed, Euphoric, Aroused",Anxious,"Fatigue, Spasticity, Pain, Inflammation, Nausea"
294,indica,"Apricot, Tar, Tobacco, Strawberry, Minty, Butter, Fruit, Blue Cheese, Skunk, Nutty, Ammonia, Mint, Menthol, Blueberry, Lime, Plum, Cheese, Lemon","Creative, Giggly, Aroused, Uplifted, Relaxed, Energetic","Anxious, Dizzy","Insomnia, Muscle Spasms"
295,indica,"Tropical, Menthol, Pine, Fruit, Sage, Tobacco, Cheese, Lemon, Chemical, Peach, Citrus, Blue Cheese, Pineapple, Tree, Butter, Apple, Pungent, Sweet, Lime, Mango, Pear, Pepper, Blue, Honey, Diesel, Chestnut, Violet, Plum, Minty","Energetic, Euphoric, Talkative, Focused, Happy, Giggly, Hungry, Uplifted, Tingly",Dry Eyes,"Pain, Headache, Depression, Seizures, Insomnia, Fatigue, Inflammation, Eye Pressure, Nausea, Spasticity, Cramps"
296,"sativa, hybrid","Minty, Sweet, Pineapple, Lemon, Ammonia, Pear, Diesel, Menthol","Creative, Giggly, Talkative, Relaxed, Uplifted, Euphoric, Happy","Paranoid, Dry Mouth","Insomnia, Cramps, Headaches, Eye Pressure, Inflammation, Nausea, Lack of Appetite, Spasticity"
297,hybrid,"Nutty, Butter, Lavender, Tree, Menthol, Plum, Berry, Sage, Strawberry","Focused, Euphoric, Energetic, Tingly, Creative, Uplifted, Talkative",,"Seizures, Eye Pressure, Pain, Headaches"
298,hybrid,"Pungent, Diesel, Butter, Sweet, Rose, Grapefruit, Minty, Woody, Menthol, Pepper, Earthy, Fruit, Pine, Ammonia, Mint, Skunk, Chestnut, Vanilla, Spicy/Herbal, Apricot, Tobacco, Citrus, Peach, Tar, Blue Cheese, Tree, Pineapple, Lemon, Violet",,"Dry Eyes, Dry Mouth, Dizzy, Paranoid","Depression, Spasticity, Headaches, Seizures, Muscle Spasms, Cramps, Stress, Eye Pressure"
299,"indica, hybrid","Apricot, Plum, Strawberry, Sweet, Blueberry, Chemical, Grapefruit, Chestnut, Tree Fruit, Lemon, Citrus, Tar, Orange, Sage, Butter, Mint, Mango, Tropical, Tree, Apple, Pine, Earthy, Violet, Pepper, Fruit","Aroused, Happy, Tingly","Anxious, Dizzy, Dry Eyes","Lack of Appetite, Insomnia, Pain, Seizures, Stress"
300,sativa,"Spicy/Herbal, Earthy, Citrus","Hungry, Giggly, Tingly, Focused",Paranoid,"Stress, Headache, Nausea"
301,"sativa, indica","Grape, Nutty, Blue, Pear, Peach, Violet, Spicy/Herbal, Butter, Ammonia, Sage, Sweet, Diesel, Lime, Apple",Happy,"Dizzy, Anxious, Dry Eyes, Dry Mouth","Eye Pressure, Nausea, Headache, Muscle Spasms, Insomnia, Spasticity, Seizures, Depression, Pain, Cramps, Stress, Inflammation"
302,,"Tobacco, Fruit, Nutty, Mango, Tropical, Flowery, Apricot, Grape, Berry, Violet","Uplifted, Happy, Energetic, Euphoric","Dry Eyes, Dry Mouth, Dizzy","Cramps, Headaches, Headache, Pain, Seizures"
303,"hybrid, sativa","Tree Fruit, Mango, Fruit, Flowery, Minty, Lavender, Tar, Cheese, Sage, Lemon, Peach, Grapefruit, Blueberry, Pear, Blue, Strawberry, Plum, Tobacco, Apple, Butter, Violet, Tropical, Pineapple, Citrus","Giggly, Talkative, Aroused, Creative, Tingly, Relaxed","Anxious, Dry Eyes, Paranoid","Muscle Spasms, Nausea, Insomnia, Spasticity, Headaches"
304,indica,"Skunk, Lemon, Orange, Honey, Fruit, Spicy/Herbal, Ammonia, Woody, Apple, Mint, Pepper, Chemical, Sweet, Violet, Pungent, Nutty, Grape, Apricot, Minty, Citrus, Rose, Tree Fruit, Chestnut, Lavender, Blueberry","Sleepy, Aroused, Tingly",,"Headaches, Insomnia, Fatigue, Depression"
305,"hybrid, indica","Blue Cheese, Spicy/Herbal, Flowery, Butter, Diesel, Menthol, Strawberry, Pine, Mango, Rose, Orange, Tar, Tropical, Sage, Lemon, Honey, Fruit, Berry, Nutty, Grapefruit, Violet, Tree Fruit, Pungent, Lavender, Sweet, Citrus, Chestnut, Pineapple, Blue, Tobacco, Woody, Plum",Energetic,"Paranoid, Anxious, Dry Eyes, Dry Mouth","Insomnia, Lack of Appetite, Nausea, Cramps, Fatigue, Inflammation, Depression, Stress"
306,sativa,"Mint, Sage, Grape, Citrus, Pineapple, Chemical, Chestnut, Fruit, Woody, Mango","Happy, Sleepy, Hungry, Focused, Giggly, Creative, Energetic, Uplifted, Talkative","Dry Eyes, Dizzy, Dry Mouth","Eye Pressure, Muscle Spasms, Spasticity, Insomnia"
307,sativa,"Diesel, Grape, Pungent, Tropical, Fruit, Rose, Sweet, Spicy/Herbal, Pine, Tree",,"Dizzy, Paranoid","Eye Pressure, Cramps, Muscle Spasms, Headaches, Stress, Pain, Spasticity, Nausea"
308,sativa,"Chemical, Fruit, Pineapple, Pepper, Coffee, Peach, Chestnut, Grape, Tobacco, Pungent","Aroused, Creative, Tingly",Paranoid,"Lack of Appetite, Nausea, Depression, Inflammation, Seizures"
309,"indica, hybrid","Citrus, Mango, Nutty, Vanilla, Tea, Pungent, Lime, Coffee, Ammonia, Minty, Tropical, Lavender, Rose, Tree Fruit, Mint, Spicy/Herbal, Flowery, Pine, Woody",,,"Spasticity, Depression, Eye Pressure, Fatigue, Cramps, Nausea, Muscle Spasms, Insomnia"
310,"indica, sativa","Lavender, Flowery, Blue Cheese, Sweet, Mango, Berry, Apple, Skunk, Vanilla, Pine, Lime, Violet, Pear, Pineapple, Tea, Peach, Butter, Fruit, Tropical, Earthy, Blue, Nutty, Chestnut, Grapefruit, Pungent, Spicy/Herbal, Diesel, Menthol, Chemical, Tar","Happy, Aroused, Giggly, Focused, Talkative, Relaxed, Energetic, Sleepy, Tingly","Dizzy, Paranoid, Dry Eyes",
311,,"Apple, Blue, Spicy/Herbal, Peach, Pineapple, Butter, Violet, Blue Cheese, Tea, Mango, Skunk, Rose, Tree Fruit, Lime, Nutty, Vanilla, Sweet, Fruit, Plum, Pepper, Minty, Lemon, Grapefruit, Orange","Euphoric, Tingly, Hungry, Uplifted, Giggly, Energetic, Creative, Talkative","Paranoid, Dry Eyes, Anxious, Dry Mouth","Headache, Spasticity, Headaches, Cramps, Muscle Spasms, Lack of Appetite, Stress, Pain, Inflammation"
312,"sativa, hybrid","Nutty, Strawberry, Grapefruit, Grape, Tree Fruit, Woody, Earthy, Ammonia, Tobacco, Blueberry, Pineapple, Apricot, Citrus, Pear, Tea, Sage, Butter, Diesel, Chestnut, Chemical, Plum, Apple, Lemon","Sleepy, Tingly, Euphoric, Happy, Focused, Uplifted",,
313,,"Skunk, Menthol, Plum","Talkative, Relaxed, Hungry, Happy, Energetic","Paranoid, Dry Mouth, Anxious",Muscle Spasms
314,hybrid,"Blue, Grape, Diesel, Sage, Apple, Coffee, Berry, Rose, Plum, Tree Fruit, Pine, Lemon, Earthy, Honey, Spicy/Herbal, Flowery, Ammonia, Blueberry","Focused, Hungry, Euphoric, Creative, Tingly, Sleepy","Anxious, Dizzy",Inflammation
315,indica,"Flowery, Tobacco, Butter, Grape, Tree, Peach, Tar, Cheese, Vanilla, Earthy, Lemon, Apricot, Violet, Tropical, Pungent, Fruit, Lime, Citrus, Pepper, Sweet, Lavender, Minty, Spicy/Herbal, Blue Cheese, Skunk, Chemical","Tingly, Giggly, Creative, Happy, Aroused, Focused","Anxious, Dry Mouth, Dry Eyes, Dizzy","Headaches, Fatigue, Seizures, Muscle Spasms, Spasticity, Headache"
316,"hybrid, sativa, indica","Vanilla, Violet, Lime, Diesel, Apricot, Woody, Peach, Citrus, Menthol, Butter, Rose, Lavender, Apple, Mint, Spicy/Herbal, Grape, Blue Cheese, Pungent, Tree, Blueberry, Fruit, Plum, Chemical, Berry, Tar, Honey, Nutty, Chestnut, Tea, Minty","Creative, Uplifted, Energetic, Giggly, Sleepy, Hungry","Anxious, Paranoid, Dizzy","Muscle Spasms, Spasticity, Seizures, Pain, Lack of Appetite"
317,indica,"Chemical, Fruit, Skunk, Blue Cheese, Spicy/Herbal, Flowery, Plum, Pungent, Diesel, Ammonia, Peach, Pepper, Pine, Sage, Earthy, Citrus, Tropical, Apple, Orange, Blueberry, Pear, Lime","Relaxed, Talkative, Focused, Uplifted, Creative, Sleepy, Euphoric, Energetic","Dry Mouth, Dry Eyes, Paranoid",Eye Pressure
318,indica,"Pear, Skunk, Ammonia, Spicy/Herbal, Menthol, Berry, Rose, Blueberry, Lemon, Earthy, Nutty, Lavender, Pungent, Woody, Citrus, Blue, Tree Fruit, Flowery, Minty","Energetic, Giggly, Talkative, Focused","Dizzy, Dry Eyes, Dry Mouth, Anxious","Inflammation, Seizures, Stress, Depression, Headache, Lack of Appetite"
319,"sativa, indica","Plum, Pine, Spicy/Herbal, Lavender, Tree Fruit, Vanilla, Tobacco, Lemon, Blue Cheese, Ammonia, Tropical, Skunk, Fruit","Euphoric, Focused, Uplifted, Tingly, Giggly",,Insomnia
320,"hybrid, indica, sativa","Strawberry, Flowery, Apple, Blue Cheese, Minty, Sweet, Orange, Fruit, Grapefruit, Tar, Tree, Cheese, Diesel, Mango, Grape, Rose, Blueberry, Earthy, Plum, Nutty, Tobacco, Pepper","Energetic, Aroused, Euphoric, Giggly, Uplifted, Focused, Hungry, Happy",,"Depression, Fatigue, Headache, Pain, Spasticity, Insomnia, Cramps, Muscle Spasms, Stress, Eye Pressure"
321,,"Honey, Tropical, Rose, Berry, Cheese, Chemical, Spicy/Herbal, Tea, Diesel, Lavender, Woody, Pine, Pineapple, Menthol, Tree Fruit, Minty, Violet, Mango, Butter, Pepper, Grapefruit, Sage, Blue, Plum, Ammonia, Fruit, Tar","Energetic, Creative, Tingly, Focused, Hungry, Uplifted",,"Eye Pressure, Inflammation, Headache, Seizures, Lack of Appetite, Depression, Stress"
322,,"Grapefruit, Berry, Chestnut, Tea, Plum, Butter, Blue Cheese, Skunk, Orange, Coffee, Mango, Earthy, Tropical, Sweet, Tree, Blue, Lemon, Ammonia, Cheese, Flowery, Tree Fruit, Blueberry, Honey","Happy, Energetic, Tingly, Talkative, Giggly, Uplifted",Anxious,"Eye Pressure, Insomnia, Muscle Spasms, Fatigue, Seizures, Depression"
323,sativa,"Orange, Blue, Sage, Minty, Skunk, Fruit, Woody, Chemical, Menthol, Tropical, Blue Cheese, Tar, Diesel, Chestnut, Pear, Honey, Spicy/Herbal, Tea, Peach, Blueberry, Coffee, Mint","Talkative, Tingly",Dizzy,"Spasticity, Lack of Appetite"
324,sativa,"Orange, Tree, Grapefruit, Coffee, Strawberry, Blue, Tar, Diesel, Ammonia, Honey, Violet, Skunk, Plum, Sage, Chestnut, Apple, Grape, Pear, Pungent, Cheese, Vanilla, Lemon, Woody, Mint, Mango, Rose","Happy, Talkative, Focused, Giggly","Anxious, Paranoid, Dry Eyes","Pain, Eye Pressure, Fatigue, Headaches, Muscle Spasms, Lack of Appetite, Headache, Insomnia, Seizures"
325,,"Coffee, Berry, Grapefruit, Nutty, Citrus, Tea, Tropical, Blueberry, Rose, Sweet, Tree, Skunk, Pungent, Mango, Honey",,"Dry Mouth, Dizzy","Nausea, Pain, Fatigue, Seizures, Depression, Insomnia, Lack of Appetite"
